event_id,center_lat,center_lon,start_utc,end_utc,max_edr,mean_edr,n_reports,edr_bin,lat_min,lat_max,lon_min,lon_max
89,41.5835,-98.4704,2006-09-21T12:32:00+00:00,2006-09-21T18:30:00+00:00,0.25,0.1524,42,moderate,38.2317,44.4938,-101.92,-94.5202
90,40.9966,-90.4848,2009-10-30T00:07:00+00:00,2009-10-30T03:44:00+00:00,0.25,0.1654,39,moderate,38.1957,43.7207,-94.4382,-86.3916
91,42.8649,-79.0239,2006-03-13T12:03:00+00:00,2006-03-13T15:41:00+00:00,0.25,0.164,50,moderate,40.2107,45.5887,-82.4333,-75.7331
92,41.0467,-88.5526,2006-10-17T00:25:00+00:00,2006-10-17T03:31:00+00:00,0.25,0.1577,39,moderate,38.3596,43.9382,-91.8633,-84.5583
93,40.4555,-79.525,2005-10-07T09:21:00+00:00,2005-10-07T15:03:00+00:00,0.25,0.1526,38,moderate,36.9887,43.0718,-83.2425,-76.5041
94,45.6604,-89.4709,2010-10-26T09:07:40+00:00,2010-10-26T12:48:00+00:00,0.25,0.1723,39,moderate,42.6005,48.8746,-92.9211,-85.9686
95,39.7444,-75.7606,2024-03-27T18:14:00+00:00,2024-03-28T00:12:20+00:00,0.247,0.156,33,moderate,36.781,43.183,-78.981,-71.965
96,41.5809,-94.5556,2022-03-22T15:52:00+00:00,2022-03-22T18:44:00+00:00,0.24,0.1411,34,moderate,38.6,44.61,-97.8,-91.33
97,29.9584,-82.1483,2024-03-27T15:04:50+00:00,2024-03-27T18:59:30+00:00,0.24,0.1465,36,moderate,26.756,33.693,-84.991,-78.829
98,43.1514,-68.0412,2023-09-16T00:30:20+00:00,2023-09-16T06:27:50+00:00,0.24,0.1449,67,moderate,40.213,46.077,-71.428,-64.032
99,36.3439,-72.6418,2024-04-03T15:52:50+00:00,2024-04-03T21:52:40+00:00,0.24,0.1406,36,moderate,33.184,40.212,-76.331,-69.883
100,41.1507,-76.3685,2023-02-17T09:12:00+00:00,2023-02-17T12:59:20+00:00,0.24,0.1332,39,moderate,38.055,44.281,-81.459,-72.833
101,29.4756,-81.0359,2024-03-18T12:31:00+00:00,2024-03-18T18:13:00+00:00,0.24,0.1563,54,moderate,26.213,32.316,-84.126,-77.425
102,35.7055,-95.8807,2021-06-03T18:17:00+00:00,2021-06-04T00:12:00+00:00,0.24,0.1581,32,moderate,32.716,38.074,-99.212,-92.109
103,54.9392,-42.0969,2023-08-08T03:14:20+00:00,2023-08-08T09:13:00+00:00,0.237,0.1435,38,moderate,52.061,58.08,-45.357,-37.982
104,33.1302,-78.1015,2024-03-27T21:08:10+00:00,2024-03-28T00:01:00+00:00,0.22,0.1404,53,moderate,29.543,36.243,-82.272,-75.499
105,28.5634,-82.3343,2024-12-29T21:08:50+00:00,2024-12-30T00:48:40+00:00,0.22,0.1405,43,moderate,25.66,32.21,-85.334,-78.959
106,57.0607,-9.7794,2019-12-27T12:00:41+00:00,2019-12-27T12:42:00+00:00,0.22,0.1389,35,moderate,54.422,59.397,-13.18,-5.682
107,34.788,-88.4448,2019-04-12T12:17:40+00:00,2019-04-12T15:57:00+00:00,0.22,0.1448,33,moderate,31.729,37.509,-91.161,-85.613
108,34.9385,-86.6869,2024-03-26T09:02:00+00:00,2024-03-26T12:57:10+00:00,0.22,0.1432,38,moderate,30.991,38.21,-90.097,-82.506
109,35.5186,-82.0321,2020-02-06T12:03:00+00:00,2020-02-06T18:00:20+00:00,0.22,0.1327,35,moderate,32.455,38.377,-84.897,-78.898
110,29.6972,-82.6003,2019-01-27T18:39:10+00:00,2019-01-28T00:38:50+00:00,0.22,0.1415,39,moderate,26.326,33.087,-86.029,-79.21
111,45.951,-42.0676,2024-10-15T00:05:20+00:00,2024-10-15T06:05:00+00:00,0.215,0.1377,32,moderate,43.741,48.718,-46.092,-38.223
112,47.1115,-63.5369,2024-03-26T21:57:00+00:00,2024-03-27T00:55:00+00:00,0.203,0.1491,32,moderate,44.474,50.194,-67.753,-59.733
113,31.0839,-81.1252,2020-02-07T03:00:20+00:00,2020-02-07T06:33:20+00:00,0.2,0.1426,38,light,27.629,33.887,-84.031,-78.771
114,34.3872,-84.7778,2024-03-08T15:00:50+00:00,2024-03-08T21:00:30+00:00,0.2,0.139,69,light,31.117,37.442,-88.567,-80.894
115,34.5211,-84.652,2024-05-13T12:40:20+00:00,2024-05-13T18:32:30+00:00,0.2,0.1359,78,light,31.681,37.444,-88.175,-81.332
116,45.5252,-94.4547,2020-08-10T15:44:20+00:00,2020-08-10T21:42:20+00:00,0.2,0.1405,38,light,41.864,48.473,-98.391,-90.41
117,42.8105,-97.9313,2018-04-21T15:15:51+00:00,2018-04-21T21:09:20+00:00,0.2,0.1354,35,light,39.432,45.86,-101.838,-94.035
